IP地址,端口,TLS,数据中心,地区,国家代码,国家,城市,网络延迟 (ms),下载速度 (MB)
3.34.27.47,22090,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.27
43.202.45.221,46625,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.26
3.36.130.63,53413,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.26
43.201.57.57,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.26
15.164.238.229,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.25
43.202.114.221,50111,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.24
43.201.62.108,49158,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.24
13.125.169.28,49672,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.23
3.34.196.196,40001,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.22
13.125.224.248,49156,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.21
52.79.229.156,20504,TRUE,ICN,亚太地区,KR,韩国,首尔,98 ms,11.21
52.78.42.159,11371,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.20
13.125.169.28,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.20
3.34.126.26,28015,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.20
13.124.153.247,16030,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.20
13.125.224.248,58115,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.19
43.201.86.93,55442,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.19
43.200.164.74,11434,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.18
3.34.196.196,18086,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.18
13.125.224.248,37020,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.18
43.203.102.226,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.18
43.203.221.104,49159,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,11.17
43.203.221.104,11300,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.17
54.180.245.21,28017,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.17
3.36.44.26,53413,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.16
3.36.127.156,19071,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.16
52.78.42.159,19530,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.16
54.180.245.21,21322,TRUE,ICN,亚太地区,KR,韩国,首尔,85 ms,11.15
43.203.226.238,19999,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,11.15
13.209.99.217,20165,TRUE,ICN,亚太地区,KR,韩国,首尔,88 ms,11.15
52.79.80.227,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,89 ms,11.14
43.201.49.137,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.12
3.36.122.226,41795,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.12
43.200.164.74,12203,TRUE,ICN,亚太地区,KR,韩国,首尔,82 ms,11.11
3.35.3.202,18789,TRUE,ICN,亚太地区,KR,韩国,首尔,102 ms,11.10
3.34.205.157,49670,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,11.10
43.200.6.124,26257,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.09
43.202.45.221,38407,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.09
52.79.207.93,49670,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,11.08
3.36.122.226,28080,TRUE,ICN,亚太地区,KR,韩国,首尔,103 ms,11.07
13.125.97.50,29015,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,11.07
3.36.122.226,49157,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,11.06
13.124.84.93,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,11.06
3.36.44.26,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.06
52.79.207.93,32768,TRUE,ICN,亚太地区,KR,韩国,首尔,99 ms,11.05
13.125.97.50,23023,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.05
52.79.174.108,49666,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.05
43.202.164.137,49667,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.05
43.202.164.137,31337,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,11.04
43.202.164.137,28149,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.04
43.202.45.221,49156,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.03
13.125.97.50,12999,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,11.03
43.200.6.124,54321,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,11.00
52.78.42.159,14937,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,11.00
43.200.164.74,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.99
43.202.114.221,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.99
43.201.59.193,50111,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.98
3.34.198.185,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.98
52.79.174.108,26470,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,10.97
43.202.164.137,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.97
3.38.176.64,11235,TRUE,ICN,亚太地区,KR,韩国,首尔,81 ms,10.97
13.124.84.93,48772,TRUE,ICN,亚太地区,KR,韩国,首尔,107 ms,10.96
3.38.174.91,32768,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.95
13.125.97.50,18245,TRUE,ICN,亚太地区,KR,韩国,首尔,87 ms,10.95
43.200.164.74,32412,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.95
13.209.99.217,12000,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.93
3.38.174.91,11001,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.93
13.125.169.28,25105,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.91
52.79.207.93,29876,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.90
52.79.207.93,13720,TRUE,ICN,亚太地区,KR,韩国,首尔,84 ms,10.90
52.78.42.159,51659,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,10.90
52.78.247.14,16922,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,10.90
13.124.153.247,12000,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.87
3.35.3.202,49668,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.86
15.165.10.82,18246,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,10.86
3.38.181.156,49671,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.85
3.35.51.140,13579,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.84
43.200.6.124,16010,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.83
43.203.221.104,14265,TRUE,ICN,亚太地区,KR,韩国,首尔,94 ms,10.82
43.202.45.221,49664,TRUE,ICN,亚太地区,KR,韩国,首尔,91 ms,10.81
52.79.229.156,23791,TRUE,ICN,亚太地区,KR,韩国,首尔,101 ms,10.81
3.35.3.202,11310,TRUE,ICN,亚太地区,KR,韩国,首尔,90 ms,10.81
15.164.234.119,19071,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.80
3.34.198.185,49151,TRUE,ICN,亚太地区,KR,韩国,首尔,92 ms,10.78
43.203.114.196,50000,TRUE,ICN,亚太地区,KR,韩国,首尔,93 ms,10.78
15.164.238.229,22335,TRUE,ICN,亚太地区,KR,韩国,首尔,95 ms,10.78
43.201.49.137,27017,TRUE,ICN,亚太地区,KR,韩国,首尔,96 ms,10.78
43.203.114.196,49157,TRUE,ICN,亚太地区,KR,韩国,首尔,104 ms,10.78
3.34.27.47,37810,TRUE,ICN,亚太地区,KR,韩国,首尔,97 ms,10.75
